hostname, date time,#threads,operations/thread,total time taken(ms),#total operations,operations per second,Latency(microseconds),search weight,insert weight,delete weight,#search operations,#insert operations,#remove operations,size before,size after,#successful search operations,#successful insert operations,#successful remove operations,min key,max key,distribution type
sahil-lab-pc,2018-02-26 16:18:38,15,2000000,8868,30000000,3382.95,4.43426,10,45,45,3000035,13499285,13500680,15,36,1475846,6630348,6630327,5,80,uniform
sahil-lab-pc,2018-02-26 16:52:40,10,1000,8,10000,1250,8.966,10,45,45,1052,4443,4505,15,36,513,2244,2223,5,80,uniform
sahil-lab-pc,2018-02-26 16:52:40,10,2000,14,20000,1428.57,7.4485,10,45,45,2012,9030,8958,15,32,997,4417,4400,5,80,uniform
sahil-lab-pc,2018-02-26 16:52:40,10,4000,22,40000,1818.18,5.65,10,45,45,3915,18086,17999,15,30,1897,8928,8913,5,80,uniform
sahil-lab-pc,2018-02-26 16:52:40,10,8000,38,80000,2105.26,4.77487,10,45,45,7972,36090,35938,15,42,3847,17786,17759,5,80,uniform
sahil-lab-pc,2018-02-26 16:52:40,10,16000,57,160000,2807.02,3.60438,10,45,45,15887,72058,72055,15,29,7779,35296,35282,5,80,uniform
sahil-lab-pc,2018-02-26 16:52:40,11,1000,5,11000,2200,5.657,10,45,45,1098,4994,4908,15,41,557,2490,2464,5,80,uniform
sahil-lab-pc,2018-02-26 16:52:40,11,2000,10,22000,2200,5.116,10,45,45,2231,9807,9962,15,34,1114,4875,4856,5,80,uniform
sahil-lab-pc,2018-02-26 16:52:40,11,4000,18,44000,2444.44,4.646,10,45,45,4502,19865,19633,15,37,2285,9799,9777,5,80,uniform
sahil-lab-pc,2018-02-26 16:52:40,11,8000,30,88000,2933.33,3.77875,10,45,45,8792,39601,39607,15,37,4374,19583,19561,5,80,uniform
sahil-lab-pc,2018-02-26 16:52:40,11,16000,55,176000,3200,3.46306,10,45,45,17685,79422,78893,15,43,8696,38858,38830,5,80,uniform
sahil-lab-pc,2018-02-26 16:52:40,12,1000,5,12000,2400,5.116,10,45,45,1172,5435,5393,15,32,571,2657,2640,5,80,uniform
sahil-lab-pc,2018-02-26 16:52:40,12,2000,9,24000,2666.67,4.931,10,45,45,2407,10858,10735,15,43,1162,5435,5407,5,80,uniform
sahil-lab-pc,2018-02-26 16:52:40,12,4000,17,48000,2823.53,4.269,10,45,45,4848,21405,21747,15,39,2375,10656,10632,5,80,uniform
